Timestamp,Roll,Pitch,Yaw,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
1765181703970,-0.14,-0.17,158.45,5.762,-0.752,981.084,-0.12,0.52,-0.03
1765181703980,-0.14,-0.15,158.44,1.855,-2.217,977.178,0.00,0.27,-0.22
1765181703990,-0.13,-0.12,158.45,1.367,-1.729,980.596,0.00,0.27,0.22
1765181704000,-0.11,-0.14,158.45,3.809,-0.752,977.178,0.00,-0.04,-0.03
1765181704009,-0.06,-0.15,158.44,3.809,0.713,974.736,0.25,0.21,-0.22
1765181704018,-0.08,-0.16,158.45,3.809,-2.217,977.666,-0.12,0.02,0.15
1765181704028,-0.08,-0.19,158.45,5.273,-2.217,980.596,0.19,0.09,0.15
1765181704038,-0.10,-0.16,158.45,2.344,-2.217,978.154,-0.06,0.34,-0.03
1765181704047,-0.12,-0.14,158.46,2.832,-3.682,979.619,0.00,0.46,0.09
1765181704056,-0.13,-0.12,158.46,2.344,-2.217,979.619,-0.06,0.46,0.03
1765181704067,-0.12,-0.13,158.47,3.809,-1.240,976.201,-0.12,0.21,0.22
1765181704076,-0.09,-0.13,158.47,2.832,-0.264,975.713,0.19,0.21,0.09
1765181704086,-0.11,-0.09,158.47,0.879,-3.193,979.619,-0.06,0.40,0.03
1765181704096,-0.11,-0.11,158.47,3.320,-1.729,977.178,-0.06,0.15,0.03
1765181704105,-0.12,-0.14,158.48,5.762,-2.705,976.201,0.07,0.40,0.15
1765181704115,-0.10,-0.11,158.46,1.855,-1.240,977.666,0.13,0.46,-0.35
1765181704124,-0.11,-0.13,158.46,4.785,-1.240,982.061,-0.18,0.40,-0.10
1765181704134,-0.11,-0.13,158.45,3.320,-2.217,979.131,0.00,0.34,-0.28
1765181704144,-0.10,-0.12,158.44,2.344,-1.240,977.666,0.07,0.09,-0.10
1765181704153,-0.15,-0.13,158.44,3.809,-6.123,983.525,0.13,0.40,-0.03
1765181704163,-0.09,-0.10,158.45,0.879,1.201,979.131,0.13,0.27,0.15
1765181704173,-0.09,-0.05,158.44,-0.586,-1.729,981.572,0.19,0.27,-0.10
1765181704182,-0.14,-0.05,158.44,1.367,-6.123,975.225,0.19,0.21,-0.03
1765181704192,-0.16,-0.04,158.45,1.855,-4.170,979.131,0.00,0.40,0.09
1765181704202,-0.16,-0.05,158.45,0.879,-2.217,977.178,-0.06,-0.10,0.09
1765181704211,-0.16,-0.08,158.45,3.809,-3.682,980.107,0.07,0.15,-0.10
1765181704221,-0.16,-0.09,158.46,2.344,-3.193,979.619,0.25,0.15,0.28
1765181704230,-0.15,-0.14,158.45,6.250,-2.705,978.154,0.25,0.21,-0.16
1765181704259,-0.22,-0.18,158.45,3.320,-4.170,973.760,-0.06,0.21,0.03
1765181704269,-0.21,-0.17,158.44,3.320,-3.193,982.061,-0.06,0.34,-0.22
1765181704801,-0.19,-0.14,158.43,1.367,-1.729,975.713,-0.06,0.15,-0.22
1765181704810,-0.20,-0.09,158.42,-1.562,-3.682,976.689,-0.12,-0.04,-0.10
1765181704820,-0.19,-0.10,158.42,3.809,-2.705,978.643,-0.06,0.52,0.03
1765181704830,-0.20,-0.08,158.42,1.367,-4.170,975.225,0.13,0.15,-0.10
1765181704848,-0.22,-0.10,158.41,2.344,-4.658,977.178,0.00,0.02,-0.10
1765181704867,-0.20,-0.08,158.40,1.855,-2.705,978.643,0.00,0.09,0.03
1765181704878,-0.18,-0.12,158.41,5.273,-2.705,976.689,0.19,0.21,0.03
1765181704887,-0.18,-0.08,158.40,-0.098,-3.682,976.689,0.13,0.15,-0.03
1765181704897,-0.19,-0.10,158.42,4.785,-2.705,979.131,-0.18,0.46,0.28
1765181704906,-0.14,-0.09,158.42,1.367,0.713,977.178,-0.06,0.09,0.09
1765181704916,-0.16,-0.07,158.43,1.855,-4.658,974.736,0.19,0.52,0.09
1765181704926,-0.18,-0.09,158.42,3.320,-4.658,978.154,0.00,0.21,-0.22
1765181704936,-0.20,-0.12,158.42,3.809,-5.146,978.154,0.19,0.02,0.09
1765181704945,-0.19,-0.13,158.42,3.320,-2.705,979.131,-0.06,-0.04,0.03
1765181704964,-0.18,-0.10,158.41,1.367,-2.217,976.201,0.07,0.27,0.15
1765181704974,-0.19,-0.09,158.42,2.344,-3.682,980.596,-0.18,0.27,0.09
1765181704984,-0.20,-0.08,158.42,1.855,-4.170,976.689,0.13,0.27,0.03
